=== IGA Flyer Fetch — 2026-04-23 ===
Run started : 2026-04-23 13:46:09 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (811 publication entries)

Phase 1: fetching publications per store…

  [8377] IGA extra Famille Déziel Vaudreuil-Dorion → ['7893759', '7887347']
  [8378] IGA Marche Famille Vincent inc. → ['7893759', '7887347']
  [8379] IGA Lac St-Charles → ['7893757', '7887347']
  [8380] IGA extra Marché Gagné et Fille → ['7893759', '7887347']
  [8383] IGA Alimentation Beaubien et fille inc. → ['7893757', '7887347']
  [8388] IGA Ferme Neuve → ['7893753', '7887347']
  [8389] IGA Extra Saint-Léonard → ['7893759', '7887347']
  [8390] IGA Deux-Montagnes → ['7893757', '7887347']
  [8393] IGA Val-d'Or Centre-Ville → ['7893753', '7887347']
  [8395] IGA EXTRA POINTE-CLAIRE → ['7893759', '7887347']
  [8396] IGA EXTRA Famille Patry Bromont → ['7893757', '7887347']
  [8397] IGA Extra → ['7893759', '7887347']
  [8464] IGA St-Lambert-de-Lauzon → ['7893759', '7887347']
  [8468] IGA extra Rockland → ['7893759', '7887347']
  [8476] IGA St-Joseph → ['7893757', '7887347']
  [8481] IGA Alimentation Francis Gravel inc. → ['7893753', '7887347']
  [8490] IGA Marche Landry -Tardif inc. → ['7893757', '7887347']
  [8502] IGA Marché St-Pierre et Fils → ['7893757', '7887347']
  [8503] IGA Magasin Co-Op de Plessisville (Prin → ['7893753', '7887347']
  [8505] IGA Famille P. Crégheur → ['7893757', '7887347']
  [8506] IGA Marché Vincent inc. → ['7893757', '7887347']
  [8511] IGA Alimentation Coop Port-Cartier → ['7893753', '7887347']
  [8520] IGA Extra des grives → ['7893759', '7887347']
  [8522] IGA Van Horne → ['7893757', '7887347']
  [8526] IGA extra Marché Gagné → ['7893753', '7887347']
  [8527] IGA Supermarché Crevier inc. → ['7893757', '7887347']
  [8528] IGA Supermarché Crevier (Lachenaie) inc → ['7893759', '7887347']
  [8529] IGA Supermarché Crevier (Valmont) inc. → ['7893757', '7887347']
  [8530] IGA Supermarché Crevier inc. → ['7893759', '7887347']
  [8531] IGA - Quebec inc. → ['7893753', '7887347']
  [8532] IGA Marche Lambert et Freres inc. → ['7893759', '7887347']
  [8533] IGA Bourgault et Sanzone inc. → ['7893759', '7887347']
  [8536] IGA H. Després Ltée → ['7893753', '7887347']
  [8537] IGA Jodoin Douville → ['7893757', '7887347']
  [8540] IGA Supermarché Crevier L'Assomption in → ['7893757', '7887347']
  [8541] IGA Crevier → ['7893757', '7887347']
  [8542] IGA Supermarche Crevier (Lavaltrie) inc → ['7893757', '7887347']
