=== IGA Flyer Fetch — 2026-05-21 ===
Run started : 2026-05-21 14:18:12 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (4026 publication entries)

Phase 1: fetching publications per store…

  [8476] IGA St-Joseph → ['7936659', '7931805', '7911198']
  [8481] IGA Alimentation Francis Gravel inc. → ['7936655', '7931805', '7911198']
  [8490] IGA Marche Landry -Tardif inc. → ['7936659', '7931805', '7911198']
  [8502] IGA Marché St-Pierre et Fils → ['7936659', '7931805', '7911198']
  [8503] IGA Magasin Co-Op de Plessisville (Prin → ['7936655', '7931805', '7911198']
  [8505] IGA Famille P. Crégheur → ['7936659', '7931805', '7911198']
  [8506] IGA Marché Vincent inc. → ['7936659', '7931805', '7911198']
  [8511] IGA Alimentation Coop Port-Cartier → ['7936655', '7931805', '7911198']
  [8520] IGA Extra des grives → ['7936676', '7931805', '7911198']
  [8522] IGA Van Horne → ['7936659', '7931805', '7911198']
  [8526] IGA extra Marché Gagné → ['7936655', '7931805', '7911198']
  [8527] IGA Supermarché Crevier inc. → ['7936659', '7931805', '7911198']
  [8528] IGA Supermarché Crevier (Lachenaie) inc → ['7936661', '7931805', '7911198']
  [8529] IGA Supermarché Crevier (Valmont) inc. → ['7936659', '7931805', '7911198']
  [8530] IGA Supermarché Crevier inc. → ['7936661', '7931805', '7911198']
  [8531] IGA - Quebec inc. → ['7936655', '7931805', '7911198']
  [8532] IGA Marche Lambert et Freres inc. → ['7936661', '7931805', '7911198']
  [8533] IGA Bourgault et Sanzone inc. → ['7936676', '7931805', '7911198']
  [8536] IGA H. Després Ltée → ['7936655', '7931805', '7911198']
  [8537] IGA Jodoin Douville → ['7936659', '7931805', '7911198']
  [8540] IGA Supermarché Crevier L'Assomption in → ['7936659', '7931805', '7911198']
  [8541] IGA Crevier → ['7936659', '7931805', '7911198']
  [8542] IGA Supermarche Crevier (Lavaltrie) inc → ['7936659', '7931805', '7911198']
  [8543] IGA Alimentation J.P.J Martin inc. → ['7936659', '7931805', '7911198']
  [8544] IGA Supermarché DJS Cousineau inc. → ['7936659', '7931805', '7911198']
  [8546] IGA Supermarché Crevier (Joliette) Inc. → ['7936661', '7931805', '7911198']
  [8547] IGA Marche Duchemin et Freres inc. → ['7936661', '7931805', '7911198']
  [8548] IGA Le Supermarché Le Faubourg → ['7936676', '7931805', '7911198']
  [8550] IGA EXTRA Gatineau → ['7936659', '7931805', '7911198']
  [8553] IGA Marché Bélanger inc. → ['7936657', '7931805', '7911198']
  [8558] IGA familles Rodrigue et Groleau → ['7936655', '7931805', '7911198']
  [8559] IGA Extra Boisbriand (Sobeys inc.) → ['7936674', '7931805', '7911198']
  [8561] IGA Alimentation Sylvain Boyer Inc. → ['7936655', '7931805', '7911198']
  [8568] IGA Extra Famille Pelletier → ['7936655', '7931805', '7911198']
  [8569] IGA extra Chapdelaine → ['7936661', '7931805', '7911198']
  [8572] IGA des Sources Cap-Rouge → ['7936661', '7931805', '7911198']
  [8573] IGA Marché Piché → ['7936659', '7931805', '7911198']
  [8576] IGA Boutin → ['7936655', '7931805', '7911198']
  [8577] IGA Veilleux et Filles inc. → ['7936661', '7931805', '7911198']
  [8578] IGA Coop IGA Amos → ['7936657', '7931805', '7911198']
  [8580] IGA Régnier → ['7936655', '7931805', '7911198']
  [8581] IGA Super Marché Primeau et fils inc. → ['7936661', '7931805', '7911198']
  [8582] IGA Extra Famille Plante → ['7936661', '7931805', '7911198']
  [8586] IGA Supermarché Donat Thériault Ltée → ['7936657', '7911198']
  [8587] IGA Morin-Heights → ['7936659', '7931805', '7911198']
  [8589] IGA Alimentation C.C. Sévigny inc. → ['7936661', '7931805', '7911198']
  [8591] IGA Coteau-du-Lac → ['7936659', '7931805', '7911198']
  [8593] IGA Alimentation E.F.Y. Caron inc. → ['7936659', '7931805', '7911198']
  [8599] IGA Marché Gaouette inc. → ['7936659', '7931805', '7911198']
  [8612] IGA Alimentation C.Verreault → ['7936655', '7931805', '7911198']
  [8615] IGA Alimentation Famille Gaouette inc. → ['7936659', '7931805', '7911198']
  [8629] IGA Marche Famille Julien inc. → ['7936657', '7931805', '7911198']
  [8634] IGA Michaud et fils → ['7936674', '7931805', '7911198']
  [8639] IGA Super Marché Étop Inc. → ['7936659', '7931805', '7911198']
  [8643] IGA → ['7936655', '7931805', '7911198']
  [8644] IGA Supermarché Toppetta inc. → ['7936659', '7931805', '7911198']
  [8653] 9158-9325 Québec Inc. → ['7936655', '7931805', '7911198']
  [8661] IGA EXTRA Les Aliments Famille Dézielinc. → ['7936655']
  [8739] IGA Alimentation Claude Sauro → ['7936659', '7931805', '7911198']
  [8792] IGA COOP #8792 → ['7927451']
  [8793] IGA COOP #8793 → ['7927451']
  [8794] IGA COOP #8794 → ['7927451']

  804 new publication entries across 271 stores
  13 unique new publication(s) to download
  Appended 804 rows to data/iga/store_flyers.parquet
New publication entries added to store_flyers.parquet: 804
Unique new publications to download: 13

Phase 2: fetching products for each new publication…

  [7936655] Quebec  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    329 products
  [7931805] Themed Brochure  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    27 products
  [7911198] Themed Brochure  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    23 products
  [7936659] Quebec  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    329 products
  [7935425] New Brunswick  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    321 products
  [7931808] Themed Brochure  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    25 products
  [7911257] Themed Brochure  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    21 products
  [7936661] Quebec  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    354 products
  [7936657] Quebec  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    354 products
  [7936674] Quebec  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    343 products
  [7936676] Quebec  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    368 products
  [7936670] Quebec  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    343 products
  [7927451] Iles-de-la-Madeleine  (2026-05-21T00:00:00-04:00 → 2026-05-27T23:59:59-04:00)
    131 products

── Phase 2 results ──────────────────────────────────────────────────
  Downloaded : 13
  Skipped    : 0  (file already existed)
  Errors     : 0

Run completed: 2026-05-21 14:19:12 UTC
Elapsed      : 1m 0s


Done.  Verbose log → logs/iga/2026-05-21_verbose.log
       Summary log → logs/iga/2026-05-21_summary.log

