=== IGA Flyer Fetch — 2026-05-14 ===
Run started : 2026-05-14 13:46:34 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (2956 publication entries)

Phase 1: fetching publications per store…

  [8335] IGA Marche d'Alimentation Proulx inc. → ['7926562', '7921346', '7921464', '7911193']
  [8340] IGA Marché IGA Shawinigan-Sud inc. → ['7926558', '7921346', '7921464', '7911193']
  [8341] IGA Les Marchés Lambert et frères inc. → ['7926576', '7921346', '7921464', '7911193']
  [8343] IGA Supermarche St-Hubert inc → ['7926558', '7921346', '7921464', '7911193']
  [8344] IGA Marche Masson-Angers inc. → ['7926562', '7921346', '7921464', '7911193']
  [8346] IGA Épicerie Quintal et Frères () inc. → ['7926566', '7921346', '7921464', '7911193']
  [8348] IGA Marché d’alimentation Deziel inc. → ['7926562', '7921346', '7921464', '7911193']
  [8349] IGA extra Marché Paquette → ['7926562', '7921346', '7921464', '7911193']
  [8350] IGA Cooperative des Cons. de Sainte-Foy → ['7926574', '7921346', '7921464', '7911193']
  [8352] IGA Famille Rick Déziel → ['7926562', '7921346', '7921464', '7911193']
  [8353] IGA Famille Rick Déziel → ['7926564', '7921346', '7921464', '7911193']
  [8357] IGA Farnham → ['7926562', '7921346', '7921464', '7911193']
  [8358] IGA Boucherie des Sources Ste-Catherine → ['7926562', '7921346', '7921464', '7911193']
  [8359] Sobeys Capital inc. (Campbellton) → ['7926558', '7921346', '7921464', '7911193']
  [8360] IGA → ['7926562', '7921346', '7921464', '7911193']
  [8363] IGA Alimentation Proulx Terrebonne Inc → ['7926562', '7921346', '7921464', '7911193']
  [8364] IGA Hochelaga → ['7926562', '7921346', '7921464', '7911193']
  [8365] IGA Mont-Joli → ['7926558', '7921346', '7921464', '7911193']
  [8366] IGA Mche d'Alimentation Champagne inc. → ['7926562', '7921346', '7921464', '7911193']
  [8367] IGA extra L'ile-Bizard Sevigny → ['7926562', '7921346', '7921464', '7911193']
  [8368] IGA Extra Gladu → ['7926564', '7921346', '7921464', '7911193']
  [8369] IGA Supermarché Jean XXIII → ['7926562', '7921346', '7921464', '7911193']
  [8370] IGA Marché Lamontagne et fille → ['7926572', '7921346', '7921464', '7911193']
  [8371] IGA Chelsea → ['7926562', '7921346', '7921464', '7911193']
  [8373] IGA Marché Montée Gagnon inc. → ['7926562', '7921346', '7921464', '7911193']
  [8374] IGA Marché St-Janvier → ['7926562', '7921346', '7921464', '7911193']
  [8375] IGA Sobeys Capital inc. → ['7926558', '7921346', '7921464', '7911193']
  [8376] IGA Alimentation  Patrice Tellier inc. → ['7926558', '7921346', '7921464', '7911193']
  [8377] IGA extra Famille Déziel Vaudreuil-Dorion → ['7926564', '7921346', '7921464', '7911193']
  [8378] IGA Marche Famille Vincent inc. → ['7926564', '7921346', '7921464', '7911193']
  [8379] IGA Lac St-Charles → ['7926562', '7921346', '7921464', '7911193']
  [8380] IGA extra Marché Gagné et Fille → ['7926564', '7921346', '7921464', '7911193']
  [8383] IGA Alimentation Beaubien et fille inc. → ['7926562', '7921346', '7921464', '7911193']
  [8388] IGA Ferme Neuve → ['7926558', '7921346', '7921464', '7911193']
  [8389] IGA Extra Saint-Léonard → ['7926570', '7921346', '7921464', '7911193']
  [8390] IGA Deux-Montagnes → ['7926562', '7921346', '7921464', '7911193']
  [8393] IGA Val-d'Or Centre-Ville → ['7926558', '7921346', '7921464', '7911193']
  [8395] IGA EXTRA POINTE-CLAIRE → ['7926576', '7921346', '7921464', '7911193']
  [8396] IGA EXTRA Famille Patry Bromont → ['7926562', '7921346', '7921464', '7911193']
  [8397] IGA Extra → ['7926564', '7921346', '7921464', '7911193']
  [8464] IGA St-Lambert-de-Lauzon → ['7926564', '7921346', '7921464', '7911193']
  [8468] IGA extra Rockland → ['7926564', '7921346', '7921464', '7911193']
  [8476] IGA St-Joseph → ['7926562', '7921346', '7921464', '7911193']
  [8481] IGA Alimentation Francis Gravel inc. → ['7926558', '7921346', '7921464', '7911193']
  [8490] IGA Marche Landry -Tardif inc. → ['7926562', '7921346', '7921464', '7911193']
  [8502] IGA Marché St-Pierre et Fils → ['7926562', '7921346', '7921464', '7911193']
  [8503] IGA Magasin Co-Op de Plessisville (Prin → ['7926558', '7921346', '7921464', '7911193']
  [8505] IGA Famille P. Crégheur → ['7926562', '7921346', '7921464', '7911193']
  [8506] IGA Marché Vincent inc. → ['7926562', '7921346', '7921464', '7911193']
  [8511] IGA Alimentation Coop Port-Cartier → ['7926558', '7921346', '7921464', '7911193']
  [8520] IGA Extra des grives → ['7926578', '7921346', '7921464', '7911193']
  [8522] IGA Van Horne → ['7926562', '7921346', '7921464', '7911193']
  [8526] IGA extra Marché Gagné → ['7926558', '7921346', '7921464', '7911193']
  [8527] IGA Supermarché Crevier inc. → ['7926562', '7921346', '7921464', '7911193']
  [8528] IGA Supermarché Crevier (Lachenaie) inc → ['7926564', '7921346', '7921464', '7911193']
  [8529] IGA Supermarché Crevier (Valmont) inc. → ['7926562', '7921346', '7921464', '7911193']
  [8530] IGA Supermarché Crevier inc. → ['7926564', '7921346', '7921464', '7911193']
  [8531] IGA - Quebec inc. → ['7926558', '7921346', '7921464', '7911193']
  [8532] IGA Marche Lambert et Freres inc. → ['7926564', '7921346', '7921464', '7911193']
  [8533] IGA Bourgault et Sanzone inc. → ['7926576', '7921346', '7921464', '7911193']
  [8536] IGA H. Després Ltée → ['7926558', '7921346', '7921464', '7911193']
  [8537] IGA Jodoin Douville → ['7926562', '7921346', '7921464', '7911193']
  [8540] IGA Supermarché Crevier L'Assomption in → ['7926562', '7921346', '7921464', '7911193']
  [8541] IGA Crevier → ['7926562', '7921346', '7921464', '7911193']
  [8542] IGA Supermarche Crevier (Lavaltrie) inc → ['7926562', '7921346', '7921464', '7911193']
  [8543] IGA Alimentation J.P.J Martin inc. → ['7926562', '7921346', '7921464', '7911193']
  [8544] IGA Supermarché DJS Cousineau inc. → ['7926562', '7921346', '7921464', '7911193']
  [8546] IGA Supermarché Crevier (Joliette) Inc. → ['7926564', '7921346', '7921464', '7911193']
  [8547] IGA Marche Duchemin et Freres inc. → ['7926564', '7921346', '7921464', '7911193']
  [8548] IGA Le Supermarché Le Faubourg → ['7926576', '7921346', '7921464', '7911193']
