=== Walmart Flyer Fetch — 2026-07-02 ===
Run started : 2026-07-02 13:48:55 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (6339 publication entries)

Phase 1: fetching publications per store…

  [3198] Rimouski → ['8002875', '8009320', '8006070']
  [3199] Quesnel → ['8002882', '8009327', '8006074']
  [3200] Oakville → ['8002874', '8009319', '8006069']
  [3635] Scarborough → ['8002874', '8009319', '8006069']
  [3636] Halifax → ['8011704', '8009322', '8006071']
  [3637] Spruce Grove → ['8002881', '8009326', '8006073']
  [3638] Barrhaven → ['8002874', '8009319', '8006069']
  [3639] Salaberry-de-Valleyfield → ['8002875', '8009320', '8006070']
  [3640] Cold Lake → ['8011708', '8009326', '8006073']
  [3642] Saint-Constant → ['8002875', '8009320', '8006070']
  [3644] Summerside → ['8011705', '8009323', '8006071']
  [3645] Midland → ['8002874', '8009319', '8006069']
  [3646] Beauport → ['8002875', '8009320', '8006070']
  [3647] Shawinigan → ['8002875', '8009320', '8006070']
  [3649] Fort Erie → ['8002874', '8009319', '8006069']
  [3650] Calgary → ['8002881', '8009326', '8006073']
  [3651] Prince George → ['8002882', '8009327', '8006074']
  [3652] Richmond → ['8002882', '8009327', '8006074']
  [3653] Uxbridge → ['8011701', '8009319', '8006069']
  [3654] Mississauga → ['8002874', '8009319', '8006069']
  [3655] Rivière-du-Loup → ['8002875', '8009320', '8006070']
  [3656] Montréal-Nord → ['8002875', '8009320', '8006070']
  [3657] Leduc → ['8002881', '8009326', '8006073']
  [3658] Brooks → ['8011708', '8009326', '8006073']
  [3659] Moncton → ['8002876', '8009321', '8006071']
  [3660] Flin Flon → ['8002880', '8009325', '8006073']
  [3661] Fort St John → ['8002882', '8009327', '8006074']
  [3737] Atholville → ['8002876', '8009321', '8006071']
  [3738] New Minas → ['8011704', '8009322', '8006071']
  [3739] Victoriaville → ['8011702', '8009320', '8006070']
  [3740] Rexdale → ['8002874', '8009319', '8006069']
  [4002] Penguin PickUp - Eastern Ave → ['8002874', '8009319', '8006069']
  [4006] Penguin PickUp - Cabbagetown → ['8002874', '8009319', '8006069']
  [4007] Penguin PickUp - Queens Quay → ['8002874', '8009319', '8006069']
  [4008] Penguin PickUp - Eglinton East → ['8002874', '8009319', '8006069']
  [4011] Penguin PickUp - Queen West → ['8002874', '8009319', '8006069']
  [4012] Penguin PickUp - Fashion District → ['8002874', '8009319', '8006069']
  [4013] Penguin PickUp - Church & Wellesley → ['8002874', '8009319', '8006069']
  [4014] Penguin PickUp - Peter St → ['8002874', '8009319', '8006069']
  [4016] Penguin PickUp - Mont Royal → ['8002875', '8009320', '8006070']
  [4017] Penguin PickUp - Peter St → no new flyers
  [4018] Penguin PickUp - Queen St & University Ave → ['8002874', '8009319', '8006069']
  [4022] Penguin PickUp - West Broadway → ['8002882', '8009327', '8006074']
  [4107] Penguin PickUp - Crossroads → ['8002874', '8009319', '8006069']
  [5708] Okotoks → ['8002881', '8009326', '8006073']
  [5726] Calgary → ['8011708', '8009326', '8006073']
  [5742] Bolton → ['8002874', '8009319', '8006069']
  [5743] Huntsville → ['8002874', '8009319', '8006069']
  [5752] Simcoe → ['8002874', '8009319', '8006069']
  [5753] Fort Saskatchewan → ['8002881', '8009326', '8006073']
  [5776] Dawson Creek → ['8002882', '8009327', '8006074']
  [5777] New Westminster → ['8002882', '8009327', '8006074']
  [5778] Aurora → ['8011701', '8009319', '8006069']
  [5789] Amherst → ['8002877', '8009322', '8006071']
  [5790] Weyburn → ['8002881', '8009326', '8006073']
  [5795] Alma → ['8002875', '8009320', '8006070']
  [5806] Fort Frances → ['8002874', '8009319', '8006069']
  [5811] Smiths Falls → ['8002874', '8009319', '8006069']
  [5831] Thornhill (Supercentre) → ['8002874', '8009319', '8006069']
  [5832] Thetford Mines → ['8002875', '8009320', '8006070']
  [5833] Miramichi → ['8011703', '8009321', '8006071']
  [5834] Terrace → ['8002882', '8009327', '8006074']
  [5838] Surrey → ['8002882', '8009327', '8006074']
  [5839] Cowansville → ['8002875', '8009320', '8006070']
  [5853] Surrey → ['8011709', '8009327', '8006074']
  [5854] Kenora → ['8002874', '8009319', '8006069']
  [5878] Saskatoon South → ['8002881', '8009326', '8006073']
  [8123] Penguin PickUp - SSC → no new flyers
  [9051] Wal-Mart Innovation Centre #9051 → no new flyers

