=== Walmart Flyer Fetch — 2026-09-03 ===
Run started : 2026-09-03 17:11:16 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (8829 publication entries)

Phase 1: fetching publications per store…

  [3046] LaSalle → ['8113352', '8110329']
  [3047] Laval → ['8113352', '8110329']
  [3048] Lethbridge South → ['8120552', '8110332']
  [3049] London → ['8113351', '8110328']
  [3050] London North → ['8113351', '8110328']
  [3051] Whiteoaks (London) → ['8113351', '8110328']
  [3052] Longueuil → ['8113352', '8110329']
  [3053] Markham → ['8120544', '8110328']
  [3054] Mississauga (Meadowvale) → ['8113351', '8110328']
  [3055] Mississauga (Square One) → ['8113351', '8110328']
  [3056] Dieppe → ['8113353', '8110330']
  [3057] North Vancouver → ['8113360', '8110333']
  [3058] North Battleford → ['8113358', '8110332']
  [3059] Nanaimo → ['8113360', '8110333']
  [3060] Nelson → ['8113360', '8110333']
  [3061] New Glasgow → ['8113354', '8110330']
  [3062] Newmarket → ['8120544', '8110328']
  [3063] North Bay → ['8113351', '8110328']
  [3064] Oakville → ['8113351', '8110328']
  [3065] Orleans → ['8113351', '8110328']
  [3066] Ottawa West (Supercentre) → ['8113351', '8110328']
  [3067] Owen Sound → ['8113351', '8110328']
  [3068] Port Hawkesbury → ['8113354', '8110330']
  [3069] Portage La Prairie → ['8113357', '8111145']
  [3070] Penticton → ['8120553', '8110333']
  [3071] Peterborough (Supercentre) → ['8113351', '8110328']
  [3072] Powell River → ['8120553', '8110333']
  [3073] Prince Albert → ['8113358', '8110332']
  [3074] Québec → ['8113352', '8110329']
  [3075] Red Deer → ['8113359', '8110332']
  [3076] Regina (North) → ['8113358', '8110332']
  [3077] Regina South → ['8113358', '8110332']
  [3078] Renfrew → ['8113351', '8110328']
  [3079] Repentigny → ['8113352', '8110329']
  [3080] Rosemère → ['8113352', '8110329']
  [3081] Bedford-Sackville → ['8120547', '8110330']
  [3082] Sarnia → ['8113351', '8110328']
  [3083] Saskatoon West → ['8113358', '8110332']
  [3084] Saskatoon North Supercentre → ['8113358', '8110332']
  [3085] Sept-Îles → ['8113352', '8110329']
  [3086] Sherbrooke → ['8113352', '8110329']
  [3087] St. Albert → ['8120552', '8110332']
  [3088] St. Catharines → ['8113351', '8110328']
  [3089] Saint-Eustache → ['8113352', '8110329']
  [3090] Saint-Jean-sur-Richelieu → ['8113352', '8110329']
  [3091] Saint John → ['8113353', '8110330']
  [3092] St. John's → ['8113356', '8110331']
  [3093] Mount Pearl → ['8113356', '8110331']
  [3094] Saint-Léonard → ['8113352', '8110329']
  [3095] Stephenville → ['8113356', '8110331']
  [3096] Stoney Creek → ['8113351', '8110328']
  [3097] Sudbury → ['8113351', '8110328']
  [3098] Surrey → ['8120553', '8110333']
  [3099] Swift Current → ['8113358', '8110332']
  [3100] Sydney → ['8113354', '8110330']
  [3101] Sydney → ['8113354', '8110330']
  [3102] Thompson → ['8113357', '8111145']
  [3103] Tillsonburg → ['8113351', '8110328']
  [3104] Timmins → ['8113351', '8110328']
  [3105] North York → ['8113351', '8110328']
  [3106] Toronto → ['8113351', '8110328']
  [3107] Winnipeg (Transcona) → ['8113357', '8111145']
  [3108] Trois-Rivières → ['8120545', '8110329']
  [3109] Victoria → ['8113360', '8110333']
  [3110] Welland → ['8113351', '8110328']
  [3111] Scarborough East → ['8113351', '8110328']
  [3112] Wetaskiwin → ['8120552', '8110332']
  [3113] Whitby → ['8120544', '8110328']
  [3114] Windsor → ['8113351', '8110328']
  [3115] Windsor East → ['8113351', '8110328']
  [3116] Winnipeg → ['8113357', '8111145']
  [3117] Winnipeg (W) → ['8113357', '8111145']
  [3118] Winnipeg → ['8113357', '8111145']
  [3119] Winnipeg → ['8113357', '8111145']
  [3120] Woodstock → ['8113351', '8110328']
  [3121] Yellowknife → no new flyers
  [3122] Belleville Suprecentre → ['8113351', '8110328']
  [3123] Barrie → ['8113351', '8110328']
  [3124] Thunder Bay → ['8113351', '8110328']
  [3125] Gatineau → ['8113352', '8110329']
  [3126] Goderich R. R. → ['8113351', '8110328']
  [3127] Ancaster → ['8113351', '8110328']
  [3128] New Liskeard → ['8113351', '8110328']
  [3129] Hanover → ['8113351', '8110328']
  [3130] Brampton North → ['8113351', '8110328']
  [3131] Ottawa → ['8113351', '8110328']
  [3132] Lachute → ['8113352', '8110329']
  [3133] Cobourg → ['8113351', '8110328']
  [3134] Kanata → ['8113351', '8110328']
  [3135] Brampton East → ['8113351', '8110328']
  [3136] Rouyn-Noranda → ['8113352', '8110329']
  [3137] Saint-Hyacinthe → ['8113352', '8110329']
  [3138] Bayer's Lake → ['8120547', '8110330']
  [3139] Val-d'Or → ['8113352', '8110329']
  [3140] Saint-Bruno-de-Montarville → ['8113352', '8110329']
  [3141] Burlington → ['8113351', '8110328']
  [3142] Orangeville → ['8113351', '8110328']
  [3143] Hull → ['8113352', '8110329']
  [3144] Guelph → ['8113351', '8110328']
  [3146] Sainte-Foy → ['8113352', '8110329']
  [3147] Grande Prairie → ['8120552', '8110332']
  [3148] Lévis → ['8120545', '8110329']
  [3149] Mascouche → ['8120545', '8110329']
  [3150] Medicine Hat → ['8113359', '8110332']
  [3151] Shawnessy → ['8113359', '8110332']
  [3152] Cambridge → ['8113351', '8110328']
  [3153] Orillia → ['8113351', '8110328']
  [3154] Sherwood Park → ['8113359', '8110332']
  [3155] Sault Ste Marie → ['8113351', '8110328']
  [3156] Waterloo → ['8113351', '8110328']
  [3157] Fort McMurray → ['8113359', '8110332']
  [3158] Langley → ['8120553', '8110333']
  [3159] Cabbagetown → ['8113351', '8110328']
  [3160] Niagara Falls → ['8113351', '8110328']
  [3161] Oshawa → ['8120544', '8110328']
  [3162] Charlottetown → ['8113355', '8110330']
  [3163] Courtenay → ['8113360', '8110333']
  [3164] Leamington → ['8113351', '8110328']
  [3165] Mont Royal → ['8113352', '8110329']
  [3166] Barrie → ['8113351', '8110328']
  [3167] Chilliwack → ['8113360', '8110333']
  [3168] Lloydminster → ['8113359', '8110332']
  [3169] Vernon → ['8113360', '8110333']
  [3170] Burlington → ['8113351', '8110328']
  [3171] Pembroke → ['8113351', '8110328']
  [3172] St. Catharines → ['8113351', '8110328']
  [3173] Moose Jaw → ['8113358', '8110332']
  [3174] Vaughan → ['8113351', '8110328']
  [3176] Yorkton → ['8113358', '8110332']
  [3177] Winnipeg (SW) → ['8113357', '8111145']
  [3178] Trenton → ['8113351', '8110328']
